timestamp,focus_score,blink_rate_per_min,au4_frown,au12_smile,au6_cheek_raise,au23_lip_compression,psych_signal_tension_score,emotion,micro_expressions
1768888616.7399201,0.8,0.0,0.4,1.0,0.408,-0.049,0.12765901341981117,happy (0.49),{}
1768888616.758918,0.8,0.0,0.394,1.0,0.427,-0.049,0.1269955163307153,happy (0.51),{}
1768888616.7934477,0.8,0.0,0.39,1.0,0.424,-0.03,0.12892977206961181,happy (0.51),{}
1768888616.8361266,0.8,0.0,0.387,1.0,0.418,-0.049,0.12337847749693012,happy (0.50),{}
1768888616.8591094,0.8,0.0,0.396,1.0,0.422,-0.053,0.122057256703241,happy (0.51),"{'au23_lip_compression': {'intensity': 0.612, 'duration_frames': 1, 'onset_frame': 14}}"
1768888616.8888986,0.8,0.0,0.391,1.0,0.425,-0.062,0.1186101863015971,happy (0.51),"{'au23_lip_compression': {'intensity': 0.38, 'duration_frames': 1, 'onset_frame': 14}}"
1768888616.918488,0.8,0.0,0.39,1.0,0.428,-0.071,0.11528346169833381,happy (0.51),{}
1768888616.979855,0.8,0.0,0.396,1.0,0.429,-0.073,0.11548114958545624,happy (0.51),{}
1768888617.0038533,0.8,0.0,0.395,1.0,0.429,-0.027,0.1287090396312326,happy (0.51),{}
1768888617.0349567,0.8,0.0,0.395,1.0,0.425,-0.03,0.12653451108294783,happy (0.51),{}
1768888617.0722795,0.8,0.0,0.386,1.0,0.402,0.059,0.1503478396824264,happy (0.48),{}
1768888617.107792,0.8,0.0,0.395,1.0,0.332,0.188,0.17750635392375166,happy (0.40),"{'au23_lip_compression': {'intensity': 0.188, 'duration_frames': 2, 'onset_frame': 13}}"
1768888617.133786,0.8,0.0,0.393,1.0,0.32,0.316,0.21020058349631657,happy (0.38),"{'au23_lip_compression': {'intensity': 0.316, 'duration_frames': 3, 'onset_frame': 12}}"
1768888617.1638277,0.8,0.0,0.387,1.0,0.315,0.357,0.22014175566179647,happy (0.38),"{'au23_lip_compression': {'intensity': 0.357, 'duration_frames': 4, 'onset_frame': 11}}"
1768888617.195335,0.8,0.0,0.386,1.0,0.327,0.454,0.2457422324294407,happy (0.39),"{'au23_lip_compression': {'intensity': 0.454, 'duration_frames': 5, 'onset_frame': 10}}"
1768888617.2295654,0.8,0.0,0.387,1.0,0.339,0.502,0.25556644969514053,happy (0.41),"{'au23_lip_compression': {'intensity': 0.502, 'duration_frames': 6, 'onset_frame': 9}}"
1768888617.257567,0.8,0.0,0.382,1.0,0.341,0.507,0.2571041656055288,happy (0.41),"{'au23_lip_compression': {'intensity': 0.507, 'duration_frames': 7, 'onset_frame': 8}}"
1768888617.2935557,0.8,0.0,0.383,1.0,0.34,0.52,0.2574607916637215,happy (0.41),{}
1768888617.3239112,0.8,0.0,0.378,1.0,0.338,0.525,0.2557429639433978,happy (0.41),{}
1768888617.3595352,0.8,0.0,0.378,1.0,0.338,0.533,0.2578410321920678,happy (0.41),{}
1768888617.4087024,0.8,0.0,0.381,1.0,0.346,0.543,0.26417499239883285,happy (0.42),{}
1768888617.4387028,0.8,0.0,0.381,1.0,0.357,0.568,0.2703120274852938,happy (0.43),{}
1768888617.4750702,0.8,0.0,0.384,1.0,0.355,0.564,0.26942482772344795,happy (0.43),{}
1768888617.5070937,0.8,0.0,0.382,1.0,0.356,0.576,0.27343450187834434,happy (0.43),{}
1768888617.537576,0.8,0.0,0.39,1.0,0.337,0.529,0.27029817892054075,happy (0.40),{}
1768888617.5704517,0.8,0.0,0.399,1.0,0.312,0.483,0.26596435857371364,happy (0.37),{}
1768888617.5950341,0.8,0.0,0.391,1.0,0.315,0.445,0.25067035197953014,happy (0.38),{}
1768888617.6324096,0.8,0.0,0.382,1.0,0.311,0.459,0.2631770130670012,happy (0.37),"{'gaze_asymmetry': {'intensity': 0.337, 'duration_frames': 2, 'onset_frame': 13}}"
1768888617.665416,0.8,0.0,0.383,1.0,0.311,0.502,0.2769197063256861,happy (0.37),"{'gaze_asymmetry': {'intensity': 0.365, 'duration_frames': 3, 'onset_frame': 12}}"
1768888617.693505,0.8,0.0,0.355,1.0,0.339,0.586,0.2802605421867216,happy (0.41),"{'gaze_asymmetry': {'intensity': 0.365, 'duration_frames': 4, 'onset_frame': 11}}"
1768888617.7285173,0.8,0.0,0.357,1.0,0.377,0.64,0.30174146416236686,happy (0.45),"{'gaze_asymmetry': {'intensity': 0.365, 'duration_frames': 5, 'onset_frame': 10}}"
1768888617.755518,0.8,0.0,0.384,1.0,0.403,0.678,0.31498262098353674,happy (0.48),"{'au23_lip_compression': {'intensity': 0.678, 'duration_frames': 2, 'onset_frame': 13}, 'gaze_asymmetry': {'intensity': 0.365, 'duration_frames': 7, 'onset_frame': 8}}"
1768888617.7905357,0.8,0.0,0.368,1.0,0.397,0.697,0.3161088071612127,happy (0.48),"{'au23_lip_compression': {'intensity': 0.697, 'duration_frames': 3, 'onset_frame': 12}}"
1768888617.8429282,0.8,0.0,0.374,1.0,0.407,0.711,0.3238001921820288,happy (0.49),"{'au23_lip_compression': {'intensity': 0.711, 'duration_frames': 3, 'onset_frame': 12}}"
1768888617.8711019,0.8,0.0,0.362,1.0,0.407,0.695,0.3116475202845407,happy (0.49),"{'au23_lip_compression': {'intensity': 0.711, 'duration_frames': 4, 'onset_frame': 11}}"
1768888617.8986177,0.8,0.0,0.361,1.0,0.41,0.694,0.31199409455849314,happy (0.49),{}
1768888617.9259892,0.8,0.0,0.374,1.0,0.415,0.689,0.31656003505098257,happy (0.50),"{'au23_lip_compression': {'intensity': 0.711, 'duration_frames': 6, 'onset_frame': 9}}"
1768888617.951156,0.8,0.0,0.388,1.0,0.405,0.696,0.32465479257968216,happy (0.49),"{'gaze_asymmetry': {'intensity': 0.365, 'duration_frames': 7, 'onset_frame': 8}}"
1768888617.9753807,0.8,0.0,0.374,1.0,0.413,0.682,0.31344068987834645,happy (0.50),{}
1768888618.0386014,0.8,0.0,0.373,1.0,0.402,0.673,0.31414971320254303,happy (0.48),{}
1768888618.0649765,0.8,0.0,0.369,1.0,0.407,0.668,0.30478439051924966,happy (0.49),{}
1768888618.0951738,0.8,0.0,0.37,1.0,0.406,0.663,0.3046036692184134,happy (0.49),{}
1768888618.1238406,0.8,0.0,0.374,1.0,0.408,0.661,0.3070784027173029,happy (0.49),{}
1768888618.1598442,0.8,0.0,0.374,1.0,0.414,0.655,0.303331888391455,happy (0.50),{}
1768888618.19084,0.8,0.0,0.374,1.0,0.416,0.656,0.30384876401954847,happy (0.50),{}
1768888618.2205102,0.8,0.0,0.373,1.0,0.418,0.669,0.3055805264013362,happy (0.50),{}
1768888618.2717957,0.8,0.0,0.382,1.0,0.421,0.67,0.3147012479201225,happy (0.51),{}
1768888618.3126323,0.8,0.0,0.391,1.0,0.422,0.675,0.31675783239280225,happy (0.51),{}
1768888618.3381038,0.8,0.0,0.386,1.0,0.42,0.675,0.311857962045629,happy (0.50),{}
1768888618.360306,0.8,0.0,0.391,1.0,0.423,0.666,0.31169344462116116,happy (0.51),{}
1768888618.3833802,0.8,0.0,0.392,1.0,0.42,0.661,0.31743656490836836,happy (0.50),{}
1768888618.43394,0.8,0.0,0.378,1.0,0.413,0.633,0.3129111490287545,happy (0.50),{}
1768888618.4589555,0.8,0.0,0.379,1.0,0.403,0.639,0.30661761749750416,happy (0.48),{}
1768888618.4900537,0.8,0.0,0.383,1.0,0.399,0.641,0.3114113302754186,happy (0.48),{}
1768888618.5189316,0.8,0.0,0.376,1.0,0.394,0.656,0.3081482455889549,happy (0.47),{}
1768888618.5555737,0.8,0.0,0.367,1.0,0.394,0.645,0.29884353573045985,happy (0.47),{}
1768888618.5820932,0.8,0.0,0.381,1.0,0.399,0.637,0.303497029402233,happy (0.48),{}
1768888618.619168,0.8,0.0,0.371,1.0,0.395,0.636,0.297503440907241,happy (0.47),{}
1768888618.6722496,0.8,0.0,0.381,1.0,0.398,0.634,0.2994707193923523,happy (0.48),{}
1768888618.7039971,0.8,0.0,0.377,1.0,0.393,0.641,0.29827504859146986,happy (0.47),{}
1768888618.732254,0.8,0.0,0.377,1.0,0.392,0.635,0.29659121577804287,happy (0.47),{}
1768888618.7643406,0.8,0.0,0.379,1.0,0.394,0.634,0.2980715019349911,happy (0.47),{}
1768888618.7830548,0.8,0.0,0.376,1.0,0.395,0.64,0.3011465308624322,happy (0.47),{}
1768888618.8320177,0.8,0.0,0.377,1.0,0.393,0.644,0.2956938125036155,happy (0.47),{}
1768888618.8619776,0.8,0.0,0.374,1.0,0.396,0.645,0.29717135498054204,happy (0.48),{}
1768888618.89024,0.8,0.0,0.379,1.0,0.39,0.642,0.2980047319353022,happy (0.47),{}
1768888618.9232285,0.8,0.0,0.392,1.0,0.385,0.635,0.3022374566358248,happy (0.46),{}
1768888618.9531379,0.8,0.0,0.383,1.0,0.385,0.643,0.3006808520320784,happy (0.46),{}
1768888618.991101,0.8,0.0,0.406,1.0,0.387,0.64,0.3066574101116272,happy (0.46),{}
1768888619.0221126,0.8,0.0,0.387,1.0,0.393,0.631,0.300222151738906,happy (0.47),{}
1768888619.0673845,0.8,0.0,0.372,1.0,0.392,0.63,0.29452631836789994,happy (0.47),{}
1768888619.1012173,0.8,0.0,0.387,1.0,0.397,0.631,0.3015654722063308,happy (0.48),{}
1768888619.1281843,0.8,0.0,0.385,1.0,0.396,0.629,0.2984282774537895,happy (0.48),{}
1768888619.1571844,0.8,0.0,0.383,1.0,0.393,0.627,0.2968253614354356,happy (0.47),{}
1768888619.18586,0.8,0.0,0.38,1.0,0.396,0.633,0.2972883445141024,happy (0.48),{}
1768888619.233195,0.8,0.0,0.38,1.0,0.401,0.625,0.2935651398654547,happy (0.48),{}
1768888619.2615473,0.8,0.0,0.386,1.0,0.4,0.618,0.2946509483122825,happy (0.48),{}
