video_id,duration_sec,duration_source,n_face_frames,n_gesture_frames,face_detection_rate,too_short_for_rate
vid_0763,45.467,frames/fps,455,455,1.0000,0
vid_0764,14.567,frames/fps,146,146,1.0000,0
vid_0765,28.167,frames/fps,282,282,1.0000,0
vid_0766,22.533,frames/fps,226,226,1.0000,0
vid_0767,34.400,frames/fps,344,344,1.0000,0
vid_0768,28.467,frames/fps,285,285,1.0000,0
vid_0769,34.500,frames/fps,345,345,1.0000,0
vid_0770,30.100,frames/fps,301,301,1.0000,0
vid_0771,27.600,frames/fps,276,276,1.0000,0
vid_0772,22.467,frames/fps,225,225,1.0000,0
vid_0773,36.633,frames/fps,367,367,1.0000,0
vid_0774,25.433,frames/fps,255,255,1.0000,0
vid_0775,22.833,frames/fps,229,229,1.0000,0
vid_0776,40.333,frames/fps,404,404,1.0000,0
vid_0777,44.800,frames/fps,448,448,1.0000,0
vid_0778,23.500,frames/fps,235,235,1.0000,0
vid_0779,30.000,frames/fps,300,300,1.0000,0
vid_0780,42.633,frames/fps,427,427,1.0000,0
vid_0781,7.567,frames/fps,76,76,1.0000,0
vid_0782,23.667,frames/fps,237,237,1.0000,0
vid_0783,18.767,frames/fps,188,188,1.0000,0
vid_0784,24.433,frames/fps,245,245,1.0000,0
vid_0785,10.433,frames/fps,105,105,1.0000,0
vid_0786,35.633,frames/fps,357,357,1.0000,0
vid_0787,12.367,frames/fps,124,124,1.0000,0
vid_0788,25.233,frames/fps,253,253,1.0000,0
vid_0789,15.600,frames/fps,156,156,1.0000,0
vid_0790,46.400,frames/fps,464,464,1.0000,0
vid_0791,24.900,frames/fps,249,249,1.0000,0
vid_0792,11.067,frames/fps,111,111,1.0000,0
vid_0793,58.167,frames/fps,582,582,1.0000,0
vid_0794,11.500,frames/fps,115,115,1.0000,0
vid_0795,17.300,frames/fps,173,173,1.0000,0
vid_0796,1.100,frames/fps,11,11,1.0000,1
vid_0797,4.500,frames/fps,45,45,1.0000,0
vid_0798,12.767,frames/fps,128,128,1.0000,0
vid_0799,23.367,frames/fps,234,234,1.0000,0
vid_0800,36.400,frames/fps,364,364,1.0000,0
vid_0801,42.467,frames/fps,425,425,1.0000,0
vid_0802,31.600,frames/fps,316,316,1.0000,0
vid_0803,16.133,frames/fps,162,162,1.0000,0
vid_0804,31.200,frames/fps,312,312,1.0000,0
vid_0805,32.100,frames/fps,321,321,1.0000,0
vid_0806,35.767,frames/fps,358,358,1.0000,0
vid_0807,14.767,frames/fps,148,148,1.0000,0
vid_0808,20.167,frames/fps,202,202,1.0000,0
vid_0809,48.200,frames/fps,481,482,1.0000,0
vid_0810,2.400,frames/fps,24,24,1.0000,0
vid_0811,43.633,frames/fps,437,437,1.0000,0
vid_0812,15.767,frames/fps,158,158,1.0000,0
vid_0813,30.100,frames/fps,301,301,1.0000,0
vid_0814,13.667,frames/fps,137,137,1.0000,0
vid_0815,45.267,frames/fps,453,453,1.0000,0
vid_0816,26.533,frames/fps,266,266,1.0000,0
vid_0817,28.033,frames/fps,281,281,1.0000,0
vid_0818,48.100,frames/fps,481,481,1.0000,0
vid_0819,34.900,frames/fps,344,349,1.0000,0
vid_0820,59.100,frames/fps,591,591,1.0000,0
vid_0821,31.367,frames/fps,314,314,1.0000,0
vid_0822,53.300,frames/fps,533,533,1.0000,0
vid_0823,18.833,frames/fps,189,189,1.0000,0
vid_0824,45.200,frames/fps,452,452,1.0000,0
vid_0825,12.100,frames/fps,121,121,1.0000,0
vid_0826,28.233,frames/fps,283,283,1.0000,0
